fold,train_size,test_size,rf_pearson,rf_spearman,rf_rmse,rf_mae
1,12,3,0.6813735933692185,0.4999999999999999,1.4367996665981815,1.4360837936401367
2,12,3,-0.21622425837115455,0.4999999999999999,1.0110924155447991,0.9422771334648132
3,12,3,-0.9925152336258268,-0.9999999999999998,1.47206480256262,1.3470391035079956
4,12,3,-0.3195030824378493,-0.4999999999999999,2.0435969770814224,2.013808250427246
5,12,3,-0.9230211502807438,-0.9999999999999998,1.007783342279729,0.9270374178886414
