fold,test_idx,support_idx,val_idx,chosen_ckpt,val_mse,test_pearson,test_spearman,test_rmse,test_mae
1,"[1, 3, 5]","[6, 7, 9, 0, 14, 4, 2, 12, 11]","[13, 8, 10]",best_episode460.pt,0.2063404768705368,0.15023144817763245,-0.4999999999999999,0.32710752088970174,0.2690201699733734
2,"[0, 4, 6]","[7, 14, 3, 9, 13, 8, 2, 12, 11]","[5, 10, 1]",best_episode250.pt,0.33369874954223633,-0.7799303738941711,-0.9999999999999998,0.9831741213546351,0.8852971196174622
3,"[2, 10, 11]","[1, 0, 12, 3, 4, 14, 13, 7, 9]","[5, 6, 8]",best_episode350.pt,0.1347382813692093,0.8172366246062045,0.9999999999999998,0.7972577989447394,0.7161216735839844
4,"[8, 9, 14]","[1, 2, 11, 4, 7, 13, 3, 12, 5]","[10, 6, 0]",best_episode140.pt,0.5821336507797241,0.12976425591063845,0.4999999999999999,1.8015318524681025,1.5069993734359741
5,"[7, 12, 13]","[0, 8, 5, 10, 11, 4, 14, 2, 1]","[6, 9, 3]",best_episode340.pt,0.6885840892791748,0.8418516003287948,0.9999999999999998,0.3845152064219653,0.3700315058231354
