fold,test_idx,support_idx,val_idx,chosen_ckpt,val_mse,test_pearson,test_spearman,test_rmse,test_mae
1,"[1, 3, 5]","[6, 7, 9, 0, 14, 4, 2, 12, 11]","[13, 8, 10]",best_episode570.pt,0.34409841895103455,-0.6630056120145759,-0.4999999999999999,0.5674224944691019,0.5511603355407715
2,"[0, 4, 6]","[7, 14, 3, 9, 13, 8, 2, 12, 11]","[5, 10, 1]",best_episode350.pt,0.3239215612411499,-0.9644326789256688,-0.9999999999999998,1.3981544165485955,1.2065930366516113
3,"[2, 10, 11]","[1, 0, 12, 3, 4, 14, 13, 7, 9]","[5, 6, 8]",best_episode170.pt,0.513875424861908,0.9573208695152053,0.9999999999999998,0.6812413092592586,0.6032810807228088
4,"[8, 9, 14]","[1, 2, 11, 4, 7, 13, 3, 12, 5]","[10, 6, 0]",best_episode570.pt,0.6209165453910828,-0.8874362997998123,-0.4999999999999999,1.3692419692119668,1.1316726207733154
5,"[7, 12, 13]","[0, 8, 5, 10, 11, 4, 14, 2, 1]","[6, 9, 3]",best_episode170.pt,0.5149717330932617,0.8283014503925828,0.9999999999999998,0.6784019150927342,0.6541635394096375
