fold,train_size,test_size,rf_pearson,rf_spearman,rf_rmse,rf_mae
1,12,3,0.9257057168990076,0.9999999999999998,1.021560461883052,1.0183602571487427
2,12,3,0.33756890812236917,0.4999999999999999,0.9071463065891743,0.5418514609336853
3,12,3,-0.6211762931180428,-0.4999999999999999,1.3088717948110007,1.2961384057998657
4,12,3,0.06736425011252785,0.4999999999999999,1.746150892717972,1.6038962602615356
5,12,3,-0.9900208729372618,-0.9999999999999998,0.585496380380246,0.4823094606399536
