fold,test_idx,support_idx,val_idx,chosen_ckpt,val_mse,test_pearson,test_spearman,test_rmse,test_mae
1,"[1, 3, 5]","[6, 7, 9, 0, 14, 4, 2, 12, 11]","[13, 8, 10]",best_episode340.pt,0.47956153750419617,-0.08834861634698839,0.4999999999999999,1.0879387836309569,0.9680834412574768
2,"[0, 4, 6]","[7, 14, 3, 9, 13, 8, 2, 12, 11]","[5, 10, 1]",best_episode250.pt,0.8755072951316833,0.8440043277336806,0.9999999999999998,0.6401037561235801,0.6374064087867737
3,"[2, 10, 11]","[1, 0, 12, 3, 4, 14, 13, 7, 9]","[5, 6, 8]",best_episode340.pt,0.6072331070899963,0.9788487334678073,0.4999999999999999,0.2730288449120686,0.2670665681362152
4,"[8, 9, 14]","[1, 2, 11, 4, 7, 13, 3, 12, 5]","[10, 6, 0]",best_episode180.pt,0.3965793550014496,0.9975868346441382,0.9999999999999998,0.2268629466157364,0.21725381910800934
5,"[7, 12, 13]","[0, 8, 5, 10, 11, 4, 14, 2, 1]","[6, 9, 3]",best_episode140.pt,0.43308815360069275,0.6968893655430242,0.8660254037844387,1.061757838278433,0.9163405895233154
