fold,test_idx,support_idx,val_idx,chosen_ckpt,val_mse,test_pearson,test_spearman,test_rmse,test_mae
1,"[1, 3, 5]","[6, 7, 9, 0, 14, 4, 2, 12, 11]","[13, 8, 10]",best_episode250.pt,0.11866789311170578,0.8069311799133883,0.4999999999999999,1.0710269186481987,1.070332407951355
2,"[0, 4, 6]","[7, 14, 3, 9, 13, 8, 2, 12, 11]","[5, 10, 1]",best_episode460.pt,0.645632803440094,0.6024615135903315,0.4999999999999999,0.8309251121696523,0.7000607848167419
3,"[2, 10, 11]","[1, 0, 12, 3, 4, 14, 13, 7, 9]","[5, 6, 8]",best_episode390.pt,0.6122369766235352,0.23632248174159315,0.4999999999999999,0.7222353972757525,0.6600798964500427
4,"[8, 9, 14]","[1, 2, 11, 4, 7, 13, 3, 12, 5]","[10, 6, 0]",best_episode390.pt,0.3810693025588989,-0.8177134693952799,-0.9999999999999998,1.9875681259667268,1.7614154815673828
5,"[7, 12, 13]","[0, 8, 5, 10, 11, 4, 14, 2, 1]","[6, 9, 3]",best_episode690.pt,0.7850729823112488,0.737846107427765,0.4999999999999999,1.1051743725380645,1.0641142129898071
