step,global_index,task_key,task_local_idx,pred,true,support_size,pool_size,pool_rmse,pool_r2
0,195,task_01,21,0.9746198654174805,-0.4303717613220215,11,1169,0.9755977392196655,0.055636346757681476
1,554,task_03,32,0.6394103765487671,4.181623935699463,12,1168,0.930543065071106,0.12865553903714788
2,857,task_04,161,1.4727392196655273,3.8911006450653076,13,1167,0.9423500895500183,0.09535270806093954
3,275,task_01,101,2.162862539291382,4.148872375488281,14,1166,0.9614476561546326,0.04472565750496704
4,55,task_00,55,2.366361379623413,4.064084529876709,15,1165,0.9818402528762817,-0.010230995125525055
5,133,task_00,133,2.2348897457122803,3.87705397605896,16,1164,1.013441562652588,-0.09022349820273035
6,854,task_04,158,1.966254472732544,-0.024454664438962936,17,1163,0.9706682562828064,0.0007215795936132974
7,942,task_05,72,1.7654343843460083,0.8365879058837891,18,1162,0.9558987021446228,0.03109256521850523
8,1006,task_05,136,1.6688697338104248,-0.19212603569030762,19,1161,0.9484443664550781,0.046938727995817664
9,871,task_05,1,1.4797587394714355,1.1883584260940552,20,1160,0.9491570591926575,0.04506460460216599
10,1076,task_06,32,1.465513825416565,1.6005010604858398,21,1159,0.9567791819572449,0.02817936380186603
11,1126,task_06,82,1.4827145338058472,0.5237332582473755,22,1158,0.950144350528717,0.04218053065356264
12,996,task_05,126,1.4992090463638306,0.21095533668994904,23,1157,0.9454999566078186,0.052294929285999214
13,24,task_00,24,1.2372766733169556,0.025668436661362648,24,1156,0.9383628368377686,0.06735360262493484
14,763,task_04,67,1.166214942932129,2.1091763973236084,25,1155,0.9442430138587952,0.05251242558212643
15,784,task_04,88,1.346213459968567,3.4628803730010986,26,1154,0.9618533253669739,0.00659451196760974
16,27,task_00,27,1.615765929222107,0.9485152363777161,27,1153,0.9541913270950317,0.022345626283124753
17,1040,task_05,170,1.5504915714263916,2.4671273231506348,28,1152,0.9700452089309692,-0.015408926747024099
18,316,task_01,142,1.6170791387557983,2.7607271671295166,29,1151,0.9824280738830566,-0.048226906895478594
19,965,task_05,95,1.362502098083496,-0.2903585731983185,30,1150,0.973253607749939,-0.02791319060156172
20,314,task_01,140,1.3574512004852295,-0.014398053288459778,31,1149,0.9561887979507446,0.008679720824257275
21,933,task_05,63,1.2315181493759155,0.13257212936878204,32,1148,0.9504855871200562,0.02129855600550068
22,53,task_00,53,1.1971359252929688,-0.04100500047206879,33,1147,0.9428557753562927,0.037786704751127
23,236,task_01,62,1.2273502349853516,0.1503993570804596,34,1146,0.9506810307502747,0.022572013573873506
24,900,task_05,30,1.0927585363388062,0.27840539813041687,35,1145,0.9391850829124451,0.046815329918594606
25,932,task_05,62,1.0534993410110474,0.3052370548248291,36,1144,0.9385794401168823,0.048775472957698685
26,553,task_03,31,0.9879587888717651,0.17251956462860107,37,1143,0.9393672347068787,0.047974183444385865
27,447,task_02,99,0.9123638272285461,-0.08868797868490219,38,1142,0.9388388991355896,0.049873639535126246
28,1144,task_06,100,0.8951997756958008,-0.2245228886604309,39,1141,0.9356607794761658,0.057087802747732064
29,332,task_01,158,0.9723424315452576,-0.28352266550064087,40,1140,0.9315226078033447,0.0661718849030295
30,446,task_02,98,0.8511777520179749,-0.04659920930862427,41,1139,0.9312424063682556,0.06755195785891932
31,349,task_02,1,0.7968122363090515,0.2845638692378998,42,1138,0.9299543499946594,0.07085974195041378
32,101,task_00,101,0.815162718296051,0.06259329617023468,43,1137,0.9312343597412109,0.06911160659594884
33,1037,task_05,167,0.7274776697158813,-0.18366406857967377,44,1136,0.9298702478408813,0.07263208082862549
34,512,task_02,164,0.7295944690704346,0.4097115099430084,45,1135,0.9284271001815796,0.07615413415270667
35,168,task_00,168,0.7394315004348755,-0.16752925515174866,46,1134,0.9287241697311401,0.07636063110339353
36,654,task_03,132,0.6714353561401367,0.2311195731163025,47,1133,0.9285621643066406,0.07743781971458064
37,961,task_05,91,0.696986973285675,2.1754372119903564,48,1132,0.929514467716217,0.07209588974305547
38,1127,task_06,83,0.7211773991584778,0.5068037509918213,49,1131,0.9278886318206787,0.07590158579009743
39,539,task_03,17,0.7381898760795593,-1.2716618776321411,50,1130,0.9221090078353882,0.08685183726423606
40,229,task_01,55,0.6893940567970276,2.4774019718170166,51,1129,0.9225351214408875,0.08131813572225632
41,828,task_04,132,0.7813039422035217,0.2834990918636322,52,1128,0.9206810593605042,0.08572978655183283
42,34,task_00,34,0.7292416095733643,0.4758290648460388,53,1127,0.9263100624084473,0.07510695665412592
43,417,task_02,69,0.6618438363075256,0.5121526122093201,54,1126,0.922906756401062,0.08244315523620682
44,380,task_02,32,0.7200632691383362,4.207604885101318,55,1125,0.9198940396308899,0.07326489971316064
45,663,task_03,141,0.8533706665039062,-0.42267242074012756,56,1124,0.919673502445221,0.0743992417354512
46,597,task_03,75,0.763474702835083,3.006878614425659,57,1123,0.9136350750923157,0.07900651941723968
47,1044,task_06,0,0.7574051022529602,1.5421836376190186,58,1122,0.9195657968521118,0.06553966363400765
48,1128,task_06,84,0.7797045707702637,2.008126974105835,59,1121,0.9171868562698364,0.06733251337463309
49,1175,task_06,131,0.7658976316452026,-0.2220618575811386,60,1120,0.9199391603469849,0.06253412996788354
50,591,task_03,69,0.7500485181808472,0.2638305425643921,61,1119,0.9155434370040894,0.07221391126180388
51,818,task_04,122,0.7630770206451416,3.6624796390533447,62,1118,0.914878249168396,0.061627216356332726
52,545,task_03,23,0.8795931339263916,3.544862985610962,63,1117,0.9147260189056396,0.05048157637909201
53,1033,task_05,163,0.8925450444221497,2.845691680908203,64,1116,0.9156002998352051,0.0413409844917757
54,50,task_00,50,0.8147013187408447,4.273788928985596,65,1115,0.91440749168396,0.025992041895179563
55,336,task_01,162,0.9611676335334778,3.8639779090881348,66,1114,0.9152892827987671,0.009057780583230257
56,93,task_00,93,1.0665563344955444,4.313500881195068,67,1113,0.9170101284980774,-0.01440402367208371
57,310,task_01,136,1.1537996530532837,4.1357598304748535,68,1112,0.9266471266746521,-0.055098356755076905
58,1068,task_06,24,1.1465719938278198,4.544497013092041,69,1111,0.927602231502533,-0.08177976517606966
59,930,task_05,60,0.9790103435516357,4.289919376373291,70,1110,0.9335365295410156,-0.11879261217743387
60,271,task_01,97,1.0492194890975952,2.716064453125,71,1109,0.9343224763870239,-0.12986543218811453
61,164,task_00,164,1.052175760269165,2.3867034912109375,72,1108,0.9353338479995728,-0.13938207057967356
62,1067,task_06,23,1.1491806507110596,3.9498074054718018,73,1107,0.9382267594337463,-0.1677270582260142
63,264,task_01,90,1.04203200340271,-0.2531225383281708,74,1106,0.9269598722457886,-0.13885890430857817
64,992,task_05,122,1.1249444484710693,2.3821828365325928,75,1105,0.935753583908081,-0.16804412828525894
65,443,task_02,95,1.0854249000549316,0.9358194470405579,76,1104,0.9332634210586548,-0.16225259905628353
66,368,task_02,20,0.9965931177139282,0.9678145051002502,77,1103,0.9344030618667603,-0.16560852713063756
